player_name,transfer_fee,market_value_in_eur,days_since_last_transfer,num_transfers
Aaron Appindangoyé,0.0,400000.0,639.25,9
Aaron Brown,0.0,0.0,124.0,5
Aaron Ciammaglichella,0.0,0.0,334.0,3
Aaron Cresswell,5025000.0,516666.6666666667,1096.5,3
Aaron Donnelly,0.0,311111.1111111111,252.25,9
Aaron Hickey,15950000.0,3720000.0,458.5,5
Aaron Keto-Diyawa,0.0,0.0,730.0,2
Aaron Leya Iseka,1250000.0,1235294.1176470588,241.5,17
Aaron Malouda,0.0,0.0,365.0,2
Aaron Meijers,0.0,258333.33333333334,958.75,9
Aaron Quigg,0.0,0.0,126.0,4
Aaron Ramsdale,70840000.0,4686363.636363637,317.1,11
Aaron Ramsey,16450000.0,2111111.111111111,189.125,9
Aaron Reid,0.0,0.0,152.25,13
Aaron Seydel,0.0,290909.0909090909,476.3,11
Aaron Tshibola,6100000.0,1057142.857142857,229.15,21
Aaron Wan-Bissaka,72600000.0,13750000.0,988.3333333333334,4
Aaron Zehnter,0.0,50000.0,475.6,6
Aarón Anselmino,16500000.0,2860000.0,183.25,5
Aarón Escandell,400000.0,492857.14285714284,732.0,7
Aarón Martín,8000000.0,7588888.888888889,456.75,9
Abakar Gadzhiev,0.0,0.0,366.0,2
Abakar Sylla,20200000.0,2666666.6666666665,326.5,3
Abat Aymbetov,0.0,928571.4285714285,644.5,7
Abbosbek Fayzullaev,500000.0,375000.0,945.0,2
Abdallah Sima,8115000.0,6818181.818181818,193.9,11
Abde Ezzalzouli,9500000.0,5122222.222222222,327.25,9
Abde Raihani,0.0,0.0,365.25,5
Abde Rebbach,0.0,25000.0,608.6666666666666,4
Abdel Abqar,0.0,75000.0,730.3333333333334,4
Abdelhamid Sabiri,5000000.0,1491666.6666666667,365.2352941176471,18
Abdelkahar Kadri,500000.0,1000000.0,773.0,2
Abdellah Baallal,0.0,33333.333333333336,440.0,3
Abdenego Nankishi,0.0,200000.0,456.5,9
Abdou Harroui,2900000.0,1368181.8181818181,439.1,11
Abdoul Kader Bamba,0.0,610000.0,527.6666666666666,10
Abdoul Kader Ouattara,0.0,0.0,126.0,2
Abdoul Koné,0.0,0.0,292.2,6
Abdoul Ouattara,0.0,83333.33333333333,640.0,3
Abdoul Rachid Ayindé,0.0,0.0,,1
Abdoulay Diaby,6500000.0,2085000.0,281.1578947368421,20
Abdoulaye Bamba,0.0,525000.0,1157.3333333333333,4
Abdoulaye Doucouré,32600000.0,5428571.428571428,620.3333333333334,7
Abdoulaye Kamara,0.0,0.0,750.0,2
Abdoulaye Ndiaye,3500000.0,944444.4444444445,308.0,9
Abdoulaye Sissako,0.0,437500.0,866.6666666666666,4
Abdoulaye Touré,3500000.0,1450000.0,577.4285714285714,8
Abdoulaye Yoro,0.0,0.0,,1
Abdoulie Ceesay,450000.0,150000.0,60.666666666666664,4
Abdukodir Khusanov,41250000.0,4133333.3333333335,520.0,3
Abdul Awudu,0.0,0.0,247.16666666666666,7
Abdul Mumin,1500000.0,683333.3333333334,450.6,6
Abdul Nurudeen,0.0,0.0,,1
Abdul Rahman Baba,28500000.0,3850000.0,231.1578947368421,20
Abdula Bagamaev,0.0,0.0,365.0,3
Abdulkadir Parmak,100000.0,676470.5882352941,350.375,17
Abdulkadir Taşdan,0.0,50000.0,1427.0,2
Abdulla Abdullaev,0.0,14285.714285714286,281.0,7
Abdullah Yiğiter,97000.0,80357.14285714286,277.46153846153845,14
Abdulpasha Dzhabrailov,0.0,70000.0,468.0,5
Abdulsamet Burak,0.0,14285.714285714286,355.8333333333333,7
Abdurrahim Dursun,0.0,180000.0,261.2857142857143,15
Abdurrahman Bayram,0.0,0.0,348.0,3
Abdurrahman Üresin,0.0,50000.0,698.0,3
Abdón Prats,0.0,157142.85714285713,426.6666666666667,7
Abdülkadir Ömür,2500000.0,3141666.6666666665,803.4,6
Abdülkerim Bardakcı,2800000.0,804411.7647058824,290.125,17
Abdülmecid Dönmez,0.0,25000.0,403.3333333333333,4
Abel Bretones,2800000.0,460000.0,457.75,5
Abel Ruiz,17000000.0,3000000.0,626.1428571428571,8
Ablie Jallow,0.0,408333.3333333333,438.0,6
Abner,17400000.0,3750000.0,651.0,4
Aboubacar Ali Abdallah,0.0,37500.0,304.0,4
